City/Town,Ward,Pct,"Clement Bissonnette","Kenneth W. Atkins","Douglas Isham","Paul Cook",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent,Progressive
Burlington,,,344,326,124,175,16,0,985
Winooski,,,"1,676","1,491",941,297,16,0,"4,421"
TOTALS,,,"2,020","1,817","1,065",472,32,0,"5,406"
