City/Town,Ward,Pct,"Carolyn Whitney Branagan","Gary Gilbert","Chris Santee","George Bilodeau","Peter Moss",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic,Independent
Fairfax,,,797,"1,229",985,448,258,7,0,"3,724"
Georgia,,,"1,303",818,659,964,126,5,0,"3,875"
TOTALS,,,"2,100","2,047","1,644","1,412",384,12,0,"7,599"
