City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Belvidere,,,140,5,0,145
Cambridge,,,"1,647",36,0,"1,683"
Waterville,,,316,1,0,317
TOTALS,,,"2,103",42,0,"2,145"
