City/Town,Ward,Pct,"Will Stevens","John Hill",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Independent
Benson,,,230,287,0,0,517
Orwell,,,488,123,3,0,614
Shoreham,,,592,52,3,0,647
Whiting,,,163,39,0,0,202
TOTALS,,,"1,473",501,6,0,"1,980"
