City/Town,Ward,Pct,"Joan G. Lenes","Robert J. Lake",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shelburne,,,"1,257",776,3,0,"2,036"
"St. George",,,219,118,0,0,337
TOTALS,,,"1,476",894,3,0,"2,373"
