City/Town,Ward,Pct,"Janet Ancel","Marion B. Gray",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Calais,,,682,322,3,0,"1,007"
Marshfield,,,556,329,4,0,889
Plainfield,,,506,209,0,0,715
TOTALS,,,"1,744",860,7,0,"2,611"
