City/Town,Ward,Pct,"Floyd Nease",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Eden,,,440,6,0,446
Johnson,,,"1,272",23,0,"1,295"
TOTALS,,,"1,712",29,0,"1,741"
