City/Town,Ward,Pct,"Patti Komline","Josh Teresco","Ed Weissman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent,Democratic
Danby,,,309,235,186,2,0,732
Dorset,,,713,355,203,1,0,"1,272"
Landgrove,,,47,33,22,0,0,102
"Mount Tabor",,,42,39,19,0,0,100
Peru,,,98,80,43,0,0,221
TOTALS,,,"1,209",742,473,3,0,"2,427"
