City/Town,Ward,Pct,"Kitty Beattie Toll","Linda L. Vance",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cabot,,,524,234,3,0,761
Danville,,,811,516,6,0,"1,333"
Peacham,,,369,123,2,0,494
TOTALS,,,"1,704",873,11,0,"2,588"
