City/Town,Ward,Pct,"Rick Hube","Tom Buchanan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Jamaica,,,309,215,1,0,525
Londonderry,,,575,421,0,0,996
Stratton,,,104,42,0,0,146
Weston,,,221,192,0,0,413
Winhall,,,337,198,0,0,535
TOTALS,,,"1,546","1,068",1,0,"2,615"
