City/Town,Ward,Pct,"George Till","Bill Frank","Eileen Haupt","Bob Scudero","Damon Brink",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican,Independent
Bolton,,,351,313,139,108,166,0,0,"1,077"
Jericho,,,"1,975","1,680","1,064",704,277,6,0,"5,706"
Underhill,,,"1,121","1,232",536,468,147,7,0,"3,511"
TOTALS,,,"3,447","3,225","1,739","1,280",590,13,0,"10,294"
