City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,166,175,1,0,342
Lincoln,,,130,117,1,0,248
Monkton,,,62,62,0,0,124
Starksboro,,,92,87,0,0,179
TOTALS,,,450,441,2,0,893
