City/Town,Ward,Pct,"Vincent Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,8,0,12,20
Brighton,,,99,0,151,250
Brunswick,,,11,2,15,28
Canaan,,,53,0,66,119
Concord,,,58,1,78,137
"E. Haven",,,36,1,65,102
Eden,,,51,8,111,170
Granby,,,17,1,3,21
Guildhall,,,38,0,13,51
Lemington,,,6,0,2,8
Lunenburg,,,77,18,129,224
Maidstone,,,15,3,4,22
Montgomery,,,35,2,62,99
Norton,,,18,2,1,21
Richford,,,73,6,105,184
Victory,,,8,0,1,9
Wolcott,,,56,6,94,156
TOTALS,,,659,50,912,"1,621"
