City/Town,Ward,Pct,"Steve Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Burke,,,40,1,0,41
Lyndon,,,127,22,0,149
Sutton,,,24,4,0,28
TOTALS,,,191,27,0,218
