City/Town,Ward,Pct,"Kathy Pellett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,43,0,0,43
Baltimore,,,15,1,0,16
Chester,,,260,2,0,262
Springfield,,,7,0,0,7
TOTALS,,,325,3,0,328
