City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,55,0,0,55
Albany,,,29,0,0,29
Alburgh,,,71,2,0,73
Andover,,,41,0,0,41
Arlington,,,80,0,0,80
Athens,,,16,0,0,16
Bakersfield,,,57,0,0,57
Baltimore,,,15,0,0,15
Barnard,,,72,1,0,73
Barnet,,,78,0,0,78
"Barre City",-,"Washington 3-1",181,4,0,185
"Barre City",-,"Washington 3-2",130,0,0,130
"Barre City",-,"Washington 3-3",28,1,0,29
"Barre Town",,,311,7,0,318
Barton,,,96,3,0,99
Belvidere,,,7,1,0,8
Bennington,-,"Bennington 2-1",209,2,0,211
Bennington,-,"Bennington 2-1 Nb",52,0,0,52
Bennington,-,"Bennington 2-2",209,2,0,211
Bennington,-,"Bennington 5",1,0,0,1
Benson,,,34,0,0,34
Berkshire,,,45,0,0,45
Berlin,,,127,1,0,128
Bethel,,,125,1,0,126
Bloomfield,,,11,0,0,11
Bolton,,,67,2,0,69
Bradford,,,135,0,0,135
Braintree,,,66,0,0,66
Brandon,,,208,2,0,210
Brattleboro,-,"Windham 3-1",216,2,0,218
Brattleboro,-,"Windham 3-2",251,0,0,251
Brattleboro,-,"Windham 3-3",220,3,0,223
Bridgewater,,,69,0,0,69
Bridport,,,73,0,0,73
Brighton,,,80,0,0,80
Bristol,,,178,1,0,179
Brookfield,,,67,1,0,68
Brookline,,,33,0,0,33
Brownington,,,22,1,0,23
Brunswick,,,9,0,0,9
Burke,,,42,0,0,42
Burlington,-,"Chittenden 3-1",709,6,0,715
Burlington,-,"Chittenden 3-2",383,3,0,386
Burlington,-,"Chittenden 3-3",511,4,0,515
Burlington,-,"Chittenden 3-4",315,3,0,318
Burlington,-,"Chittenden 3-5","1,038",7,0,"1,045"
Burlington,-,"Chittenden 3-6",115,0,0,115
Cabot,,,57,0,0,57
Calais,,,168,0,0,168
Cambridge,,,100,0,0,100
Canaan,,,36,1,0,37
Castleton,,,59,1,0,60
Cavendish,,,86,0,0,86
Charleston,,,25,0,0,25
Charlotte,,,470,1,0,471
Chelsea,,,65,1,0,66
Chester,,,224,1,0,225
Chittenden,,,42,0,0,42
Clarendon,,,74,0,0,74
Colchester,-,"Chittenden 7-1",215,3,0,218
Colchester,-,"Chittenden 7-2",391,1,0,392
Concord,,,42,1,0,43
Corinth,,,99,0,0,99
Cornwall,,,105,0,0,105
Coventry,,,34,0,0,34
Craftsbury,,,85,0,0,85
Danby,,,112,0,0,112
Danville,,,93,0,0,93
Derby,,,160,1,0,161
Dorset,,,76,1,0,77
Dover,,,28,0,0,28
Dummerston,,,216,4,0,220
Duxbury,,,68,1,0,69
"E. Haven",,,18,0,0,18
"E. Montpelier",,,145,2,0,147
Eden,,,48,1,0,49
Elmore,,,65,0,0,65
Enosburgh,,,84,2,0,86
Essex,-,"Chittenden 6-1",233,1,0,234
Essex,-,"Chittenden 6-2",336,3,0,339
Essex,-,"Chittenden 6-3",102,0,0,102
"Fair Haven",,,44,0,0,44
Fairfax,,,109,1,0,110
Fairfield,,,104,2,0,106
Fairlee,,,62,0,0,62
Fayston,,,47,0,0,47
Ferrisburgh,,,159,0,0,159
Fletcher,,,42,0,0,42
Franklin,,,71,0,0,71
Georgia,,,111,0,0,111
Glover,,,51,0,0,51
Goshen,,,15,0,0,15
Grafton,,,42,0,0,42
Granby,,,3,0,0,3
"Grand Isle",,,132,0,0,132
Granville,,,19,0,0,19
