City/Town,Ward,Pct,"John S. Rodgers",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,29,5,0,34
Barton,-,"Barton Memorial",100,48,0,148
Barton,-,"Orleans Memorial",0,0,0,0
Craftsbury,,,83,19,0,102
Glover,,,49,36,0,85
Greensboro,,,66,38,0,104
Sheffield,,,27,6,0,33
Wheelock,,,23,4,0,27
TOTALS,,,377,156,0,533
