City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,177,0,0,177
Marshfield,,,68,0,0,68
Plainfield,,,86,0,0,86
TOTALS,,,331,0,0,331
