City/Town,Ward,Pct,"Harry L. Chen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,69,6,0,75
Chittenden,,,48,1,0,49
Killington,,,28,6,0,34
Mendon,,,48,1,0,49
TOTALS,,,193,14,0,207
