City/Town,Ward,Pct,"Mitzi Johnson","Ira Trombley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,49,61,6,0,116
"Grand Isle",,,106,108,14,0,228
"Isle La Motte",,,33,33,5,0,71
Milton,,,34,27,1,0,62
"N. Hero",,,36,32,6,0,74
"S. Hero",,,144,115,14,0,273
TOTALS,,,402,376,46,0,824
