City/Town,Ward,Pct,"Norman H. McAllister",Write-Ins,Blanks,"Total Votes Cast"
,,,
Berkshire,,,67,5,0,72
Franklin,,,93,6,0,99
Highgate,,,110,12,0,122
Richford,,,85,6,0,91
TOTALS,,,355,29,0,384
