City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,110,0,0,110
Goshen,,,17,0,0,17
Hancock,,,18,0,0,18
Leicester,,,61,0,0,61
Ripton,,,64,1,0,65
Salisbury,,,62,0,0,62
TOTALS,,,332,1,0,333
