City/Town,Ward,Pct,"Tod Moses","Richard Wilson",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Norwich,,,54,46,6,0,106
Sharon,,,30,49,1,0,80
Strafford,,,26,20,3,0,49
Thetford,,,64,23,16,0,103
TOTALS,,,174,138,26,0,338
