City/Town,Ward,Pct,"Steve Larrabee",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,55,2,0,57
Danville,,,201,3,0,204
Peacham,,,56,2,0,58
TOTALS,,,312,7,0,319
