City/Town,Ward,Pct,"Kathleen C. Keenan","James B. Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,318,272,57,0,647
TOTALS,,,318,272,57,0,647
