City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
Ripton,,,16,0,0,16
Rochester,,,74,1,0,75
Rockingham,,,109,3,0,112
Roxbury,,,39,1,0,40
Royalton,,,101,2,0,103
Rupert,,,33,0,0,33
"Rutland City",-,"Rutland 5-1",238,2,0,240
"Rutland City",-,"Rutland 5-2",196,3,0,199
"Rutland City",-,"Rutland 5-3",81,4,0,85
"Rutland City",-,"Rutland 5-4",166,1,0,167
"Rutland Town",-,"Elem. School",271,0,0,271
"Rutland Town",-,"Town Hall",94,0,0,94
Ryegate,,,67,2,0,69
Salisbury,,,76,0,0,76
Sandgate,,,23,0,0,23
Searsburg,,,13,1,0,14
Shaftsbury,,,231,7,0,238
Sharon,,,51,0,0,51
Sheffield,,,39,2,0,41
Shelburne,-,"Chittenden 5-1",307,7,0,314
Shelburne,-,"Chittenden 5-2",276,2,0,278
Sheldon,,,90,1,0,91
Shoreham,,,85,1,0,86
Shrewsbury,,,76,2,0,78
"S. Burlington",-,"Chittenden 3-10",197,2,0,199
"S. Burlington",-,"Chittenden 3-7",289,3,0,292
"S. Burlington",-,"Chittenden 3-8",364,11,0,375
"S. Burlington",-,"Chittenden 3-9",321,1,0,322
"S. Hero",,,205,6,0,211
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",309,5,0,314
"St. Albans City",,,325,2,0,327
"St. Albans Town",,,377,2,0,379
"St. George",,,32,0,0,32
"St. Johnsbury",,,445,2,0,447
Stamford,,,32,0,0,32
Stannard,,,15,0,0,15
Starksboro,,,68,2,0,70
Stockbridge,,,39,0,0,39
Stowe,,,313,3,0,316
Strafford,,,41,2,0,43
Stratton,,,13,0,0,13
Sudbury,,,40,0,0,40
Sunderland,,,39,0,0,39
Sutton,,,58,2,0,60
Swanton,,,461,5,0,466
Thetford,,,79,2,0,81
Tinmouth,,,29,3,0,32
Topsham,,,84,1,0,85
Townshend,,,44,2,0,46
Troy,,,44,0,0,44
Tunbridge,,,101,3,0,104
Underhill,,,225,1,0,226
Vergennes,,,214,9,0,223
Vernon,,,156,3,0,159
Vershire,,,44,0,0,44
Victory,,,9,0,0,9
Waitsfield,,,108,1,0,109
Walden,,,55,0,0,55
Wallingford,,,111,0,0,111
Waltham,,,41,1,0,42
Wardsboro,,,28,0,0,28
Warren,,,87,2,0,89
Washington,,,71,2,0,73
