City/Town,Ward,Pct,"Christopher A. Bray",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,65,4,0,69
"New Haven",,,121,1,0,122
Weybridge,,,81,0,0,81
TOTALS,,,267,5,0,272
