City/Town,Ward,Pct,"J. Dennis Delaney","Diane B. Snelling","John C. Stewart","Robert Sims","Agnes Clift","Steven C. Adams","Chuck Furtado",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,,
Bolton,,,46,56,53,41,40,40,33,3,156,468
Burlington,-,"Chittenden 3-1",405,365,290,297,266,253,229,14,0,"2,119"
Burlington,-,"Chittenden 3-2",172,166,124,118,116,109,92,30,0,927
Burlington,-,"Chittenden 3-3",83,86,68,73,66,54,54,21,0,505
Burlington,-,"Chittenden 3-4",75,75,62,64,60,58,45,17,0,456
Burlington,-,"Chittenden 3-5",265,267,201,215,212,158,133,29,0,"1,480"
Burlington,-,"Chittenden 3-6",25,26,15,19,20,18,15,0,0,138
Charlotte,,,194,180,121,114,113,86,72,8,648,"1,536"
Essex,-,"Chittenden 6-1",338,325,326,381,241,229,177,8,"1,143","3,168"
Essex,-,"Chittenden 6-2",361,331,325,381,280,237,204,19,"1,207","3,345"
Essex,-,"Chittenden 6-3",94,95,102,122,75,70,49,5,372,984
Hinesburg,-,"Chittenden 1-1",129,149,91,91,86,77,71,3,569,"1,266"
Hinesburg,-,"Chittenden 1-2",4,5,3,1,2,1,2,0,18,36
Huntington,,,60,66,52,50,45,41,33,8,293,648
Jericho,,,242,236,350,219,168,156,136,7,"1,084","2,598"
Milton,-,"Chittenden 9",282,222,228,202,167,285,252,4,"1,076","2,718"
Milton,-,"Grand Isle-Chittenden 1-1",65,51,51,46,35,55,55,0,186,544
Richmond,,,177,189,182,154,124,116,107,5,713,"1,767"
Shelburne,-,"Chittenden 5-1",240,285,193,188,160,130,125,31,838,"2,190"
Shelburne,-,"Chittenden 5-2",231,232,169,168,155,126,127,39,601,"1,848"
"S. Burlington",-,"Chittenden 3-10",160,156,126,132,145,104,87,11,369,"1,290"
"S. Burlington",-,"Chittenden 3-7",212,213,154,161,163,122,113,14,732,"1,884"
"S. Burlington",-,"Chittenden 3-8",280,275,219,226,261,180,165,41,873,"2,520"
"S. Burlington",-,"Chittenden 3-9",226,232,180,176,219,149,132,9,885,"2,208"
"St. George",,,26,26,21,25,19,15,18,0,0,150
Underhill,,,159,155,196,142,116,121,99,12,582,"1,582"
Westford,,,79,65,75,72,50,65,55,1,241,703
Williston,,,452,474,378,413,360,309,253,17,"1,382","4,038"
Winooski,,,165,139,124,126,127,118,93,12,650,"1,554"
TOTALS,,,"5,247","5,142","4,479","4,417","3,891","3,482","3,026",368,"14,618","44,670"
