City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,151,2,0,153
Fairlee,,,62,0,0,62
"W. Fairlee",,,34,0,0,34
TOTALS,,,247,2,0,249
