City/Town,Ward,Pct,"Maxine Grad","Nathan Freeman","Joe Dorman",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Moretown,,,137,42,16,3,0,198
Northfield,,,222,148,47,2,0,419
Roxbury,,,34,23,8,0,0,65
TOTALS,,,393,213,71,5,0,682
