City/Town,Ward,Pct,"Michael W. Guernsey","Hardy Machia","Gregory F. Burbo",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Alburgh,,,59,73,27,11,0,170
"Grand Isle",,,116,109,41,11,0,277
"Isle La Motte",,,25,29,7,2,0,63
Milton,,,28,40,64,1,0,133
"N. Hero",,,55,51,22,4,0,132
"S. Hero",,,177,92,23,13,0,305
TOTALS,,,460,394,184,42,0,"1,080"
