City/Town,Ward,Pct,"Kristy Kurt Spengler","H. Meyers","Ron Lewis",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Colchester,,,299,212,111,6,0,628
TOTALS,,,299,212,111,6,0,628
