City/Town,Ward,Pct,"Eileen Haupt","Daneen Roy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,41,40,2,0,83
Jericho,,,293,261,0,0,554
Underhill,,,176,146,6,0,328
TOTALS,,,510,447,8,0,965
