City/Town,Ward,Pct,"Scudder Parker",Write-Ins,Blanks,"Total Votes Cast"
Ripton,,,63,2,0,65
Rochester,,,101,5,0,106
Rockingham,,,391,21,0,412
Roxbury,,,35,1,0,36
Royalton,,,127,6,0,133
Rupert,,,42,0,0,42
"Rutland City",-,"Rutland 5-1",146,5,0,151
"Rutland City",-,"Rutland 5-2",127,4,0,131
"Rutland City",-,"Rutland 5-3",77,4,0,81
"Rutland City",-,"Rutland 5-4",145,10,0,155
"Rutland Town",-,"Elem. School",93,5,0,98
"Rutland Town",-,"Town Hall",35,2,0,37
Ryegate,,,41,2,0,43
Salisbury,,,57,1,0,58
Sandgate,,,35,1,0,36
Searsburg,,,4,0,0,4
Shaftsbury,,,229,7,0,236
Sharon,,,118,5,0,123
Sheffield,,,21,6,0,27
Shelburne,-,"Chittenden 5-1",359,19,0,378
Shelburne,-,"Chittenden 5-2",216,11,0,227
Sheldon,,,34,20,0,54
Shoreham,,,51,3,0,54
Shrewsbury,,,63,1,0,64
"S. Burlington",-,"Chittenden 3-10",228,3,0,231
"S. Burlington",-,"Chittenden 3-7",310,10,0,320
"S. Burlington",-,"Chittenden 3-8",317,13,0,330
"S. Burlington",-,"Chittenden 3-9",234,7,0,241
"S. Hero",,,131,16,0,147
Springfield,-,"Windsor 1-1",6,0,0,6
Springfield,-,"Windsor 1-2",476,9,0,485
"St. Albans City",,,239,91,0,330
"St. Albans Town",,,159,33,0,192
"St. George",,,34,0,0,34
"St. Johnsbury",,,179,12,0,191
Stamford,,,28,0,0,28
Stannard,,,24,1,0,25
Starksboro,,,96,1,0,97
Stockbridge,,,35,1,0,36
Stowe,,,161,9,0,170
Strafford,,,192,3,0,195
Stratton,,,9,0,0,9
Sudbury,,,36,0,0,36
Sunderland,,,30,3,0,33
Sutton,,,21,5,0,26
Swanton,,,201,57,0,258
Thetford,,,362,5,0,367
Tinmouth,,,35,0,0,35
Topsham,,,18,2,0,20
Townshend,,,85,3,0,88
Troy,,,45,3,0,48
Tunbridge,,,73,0,0,73
Underhill,,,197,7,0,204
Vergennes,,,108,20,0,128
Vernon,,,66,9,0,75
Vershire,,,50,1,0,51
Victory,,,1,0,0,1
Waitsfield,,,102,2,0,104
Walden,,,56,0,0,56
Wallingford,,,107,2,0,109
Waltham,,,26,6,0,32
Wardsboro,,,42,0,0,42
Warren,,,89,4,0,93
Washington,,,52,1,0,53
Waterbury,,,211,7,0,218
Waterford,,,30,1,0,31
Waterville,,,14,3,0,17
Weathersfield,,,157,2,0,159
Wells,,,36,0,0,36
"W. Fairlee",,,33,2,0,35
"W. Haven",,,6,1,0,7
"W. Rutland",,,37,2,0,39
"W. Windsor",,,95,12,0,107
Westfield,,,23,3,0,26
Westford,,,98,2,0,100
Westminster,-,"Windham 4",19,1,0,20
