City/Town,Ward,Pct,"Carol R. Hosford",Write-Ins,Blanks,"Total Votes Cast"
,,,
Fayston,,,50,0,0,50
Waitsfield,,,114,0,0,114
Warren,,,83,1,0,84
TOTALS,,,247,1,0,248
