City/Town,Ward,Pct,"Cynthia Browning",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,83,2,0,85
Rupert,,,2,0,0,2
Sandgate,,,36,0,0,36
Sunderland,,,35,2,0,37
TOTALS,,,156,4,0,160
