City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,146,153,5,0,304
"Fair Haven",,,91,81,0,0,172
Hubbardton,,,27,26,3,0,56
"W. Haven",,,17,18,0,0,35
TOTALS,,,281,278,8,0,567
