City/Town,Ward,Pct,"Gary Gilbert","Peter D. Moss",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,111,61,9,0,181
Georgia,,,97,78,7,0,182
TOTALS,,,208,139,16,0,363
