City/Town,Ward,Pct,"Rosemary McLaughlin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Royalton,,,132,6,0,138
Tunbridge,,,76,0,0,76
TOTALS,,,208,6,0,214
