City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,17,14,0,0,31
Brookline,,,33,34,0,0,67
Grafton,,,43,40,0,0,83
Rockingham,,,454,401,4,0,859
Westminster,,,21,17,0,0,38
Windham,,,29,30,0,0,59
TOTALS,,,597,536,4,0,"1,137"
