City/Town,Ward,Pct,"Wendalyn Truax",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,41,0,0,41
Baltimore,,,14,0,0,14
Chester,,,153,1,0,154
Springfield,,,2,0,0,2
TOTALS,,,210,1,0,211
