City/Town,Ward,Pct,"Mark B. Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,69,5,0,74
Hartford,,,73,8,0,81
Pomfret,,,79,2,0,81
TOTALS,,,221,15,0,236
