City/Town,Ward,Pct,"Eileen Dickinson","James Gregoire",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfield,,,31,45,12,0,88
Fletcher,,,24,39,0,0,63
"St. Albans Town",,,273,194,41,0,508
TOTALS,,,328,278,53,0,659
