City/Town,Ward,Pct,"Loren T. Shaw","Scott Wheeler",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,31,31,0,0,62
Charleston,,,40,38,1,0,79
Derby,,,204,172,38,0,414
Holland,,,35,29,2,0,66
Morgan,,,60,54,1,0,115
TOTALS,,,370,324,42,0,736
