City/Town,Ward,Pct,"Janice L. Peaslee",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,10,0,0,10
Brunswick,,,9,2,0,11
Concord,,,53,5,0,58
Granby,,,18,1,0,19
Guildhall,,,42,0,0,42
Kirby,,,27,0,0,27
Lunenburg,,,81,21,0,102
Maidstone,,,18,3,0,21
Victory,,,6,1,0,7
TOTALS,,,264,33,0,297
