City/Town,Ward,Pct,"Mary A. Morrissey","Albert C. Krawczyk",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bennington,,,269,212,4,0,485
TOTALS,,,269,212,4,0,485
