City/Town,Ward,Pct,"Tom Buchanan",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,42,6,0,48
Londonderry,,,58,5,0,63
Stratton,,,8,0,0,8
Weston,,,65,0,0,65
Winhall,,,41,1,0,42
TOTALS,,,214,12,0,226
