City/Town,Ward,Pct,"Harvey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,139,3,0,142
"New Haven",,,131,1,0,132
Weybridge,,,68,0,0,68
TOTALS,,,338,4,0,342
