City/Town,Ward,Pct,"Jean S. Morrill","Jay A. Jurkoic",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Ludlow,,,217,160,0,0,377
"Mount Holly",,,65,74,1,0,140
Plymouth,,,22,22,0,0,44
TOTALS,,,304,256,1,0,561
