City/Town,Ward,Pct,"Michael Roosevelt",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,90,23,0,113
Stannard,,,13,1,0,14
Walden,,,44,3,0,47
TOTALS,,,147,27,0,174
