City/Town,Ward,Pct,"Susan Bartlett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,8,0,1,9
Cambridge,,,93,4,16,113
Elmore,,,64,2,7,73
"Hyde Park",,,103,3,12,118
Johnson,,,60,2,8,70
Morristown,,,266,2,44,312
Stowe,,,165,7,35,207
Waterville,,,15,1,4,20
TOTALS,,,774,21,127,922
