City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 7-1",220,1,53,274
Colchester,-,"Chittenden 7-2",398,1,66,465
"Grand Isle",,,133,1,10,144
"Isle La Motte",,,46,0,7,53
"N. Hero",,,43,0,2,45
"S. Hero",,,162,0,7,169
TOTALS,,,"1,002",3,145,"1,150"
