City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,125,0,0,125
Ryegate,,,62,1,0,63
Waterford,,,99,1,0,100
TOTALS,,,286,2,0,288
