City/Town,Ward,Pct,"Bernard Sanders","Louis W. Thabault","Craig Hill","Larry Drown","Peter Moss",Write-Ins,Blanks,"Total Votes Cast"
Johnson,,,67,0,0,0,0,3,0,70
Killington,,,36,0,0,0,0,1,0,37
Kirby,,,21,0,0,0,0,0,0,21
Landgrove,,,23,0,0,0,1,0,0,24
Leicester,,,66,0,0,0,0,0,0,66
Lemington,,,3,0,1,1,0,0,0,5
Lincoln,,,133,0,2,0,1,2,0,138
Londonderry,,,71,0,2,1,1,0,0,75
Lowell,,,40,0,0,1,0,0,0,41
Ludlow,,,279,6,16,1,10,4,0,316
Lunenburg,,,66,1,1,1,0,7,0,76
Lyndon,,,146,0,0,2,1,0,0,149
Maidstone,,,8,0,0,0,1,0,0,9
Manchester,,,154,4,1,1,1,0,0,161
Marlboro,,,119,0,0,0,2,0,0,121
Marshfield,,,77,0,0,1,0,0,0,78
Mendon,,,45,1,1,0,1,0,0,48
Middlebury,,,442,4,8,0,1,2,0,457
Middlesex,,,138,0,2,0,0,0,0,140
"Middletown Springs",,,80,2,1,0,0,0,0,83
Milton,-,"Chittenden 9",271,6,5,2,6,5,0,295
Milton,-,"Grand Isle-Chittenden 1-1",37,0,0,0,1,0,0,38
Monkton,,,18,1,1,0,0,0,0,20
Montgomery,,,50,0,0,2,0,0,0,52
Montpelier,,,827,2,22,4,2,2,0,859
Moretown,,,139,3,5,4,1,1,0,153
Morgan,,,35,0,1,0,1,0,0,37
Morristown,,,289,2,2,1,2,4,0,300
"Mount Holly",,,140,1,1,3,2,1,0,148
"Mount Tabor",,,13,0,1,1,0,0,0,15
"New Haven",,,130,0,0,0,1,0,0,131
Newark,,,20,0,1,0,0,0,0,21
Newbury,-,"Center Town House",70,5,1,2,0,0,0,78
Newbury,-,"Town Office",31,0,0,0,0,0,0,31
Newbury,-,"West River Village",22,0,1,0,0,0,0,23
Newfane,,,184,0,7,3,1,5,0,200
"Newport City",,,161,3,3,4,6,3,0,180
"Newport Town",,,67,0,0,1,0,0,0,68
"N. Hero",,,41,0,0,0,2,1,0,44
Northfield,,,272,1,2,9,1,1,0,286
Norton,,,4,0,0,0,0,0,0,4
Norwich,,,847,2,19,1,8,5,0,882
Orange,,,22,0,0,0,0,1,0,23
Orwell,,,57,1,0,0,0,2,0,60
Panton,,,39,1,1,0,0,0,0,41
Pawlet,,,59,0,1,0,2,1,0,63
Peacham,,,64,3,1,1,0,0,0,69
Peru,,,36,0,0,0,0,0,0,36
Pittsfield,,,31,1,0,0,0,0,0,32
Pittsford,,,97,0,1,3,0,0,0,101
Plainfield,,,84,0,8,1,1,1,0,95
Plymouth,,,45,0,0,4,1,0,0,50
Pomfret,,,93,2,4,2,0,0,0,101
Poultney,,,112,1,1,3,0,1,0,118
Pownal,,,141,3,0,2,5,0,0,151
