City/Town,Ward,Pct,"Steve Jackson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Benson,,,35,3,0,38
Orwell,,,100,7,0,107
Shoreham,,,54,20,0,74
Whiting,,,24,0,0,24
TOTALS,,,213,30,0,243
