City/Town,Ward,Pct,"Clem Bissonnette","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,95,89,4,0,188
Winooski,,,280,252,23,0,555
TOTALS,,,375,341,27,0,743
