City/Town,Ward,Pct,"Sus Minter","Robert Dostis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Duxbury,,,66,72,1,0,139
Huntington,,,164,169,0,0,333
Waterbury,,,243,231,2,0,476
TOTALS,,,473,472,3,0,948
