City/Town,Ward,Pct,"Alexandra J. Garven","Retta Dunlap",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,30,12,7,0,49
Morristown,,,192,109,29,0,330
Woodbury,,,32,73,8,0,113
Worcester,,,37,38,5,0,80
TOTALS,,,291,232,49,0,572
