City/Town,Ward,Pct,"David L. Deen","Mike Mrowicki","Steve Darrow",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Dummerston,,,208,122,161,2,0,493
Putney,,,298,285,182,0,0,765
Westminster,,,310,208,171,3,0,692
TOTALS,,,816,615,514,5,0,"1,950"
