City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,55,0,0,55
Albany,,,27,0,0,27
Alburgh,,,75,0,0,75
Andover,,,41,0,0,41
Arlington,,,76,0,0,76
Athens,,,14,0,0,14
Bakersfield,,,60,0,0,60
Baltimore,,,16,0,0,16
Barnard,,,71,1,0,72
Barnet,,,82,0,0,82
"Barre City",-,"Washington 3-1",189,0,0,189
"Barre City",-,"Washington 3-2",149,0,0,149
"Barre City",-,"Washington 3-3",31,0,0,31
"Barre Town",,,334,0,0,334
Barton,,,97,0,0,97
Belvidere,,,8,0,0,8
Bennington,-,"Bennington 2-1",220,0,0,220
Bennington,-,"Bennington 2-1 Nb",57,0,0,57
Bennington,-,"Bennington 2-2",229,1,0,230
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,38,1,0,39
Berkshire,,,52,0,0,52
Berlin,,,136,0,0,136
Bethel,,,133,0,0,133
Bloomfield,,,11,0,0,11
Bolton,,,66,0,0,66
Bradford,,,144,0,0,144
Braintree,,,66,0,0,66
Brandon,,,215,0,0,215
Brattleboro,-,"Windham 3-1",227,1,0,228
Brattleboro,-,"Windham 3-2",272,0,0,272
Brattleboro,-,"Windham 3-3",240,1,0,241
Bridgewater,,,70,1,0,71
Bridport,,,73,0,0,73
Brighton,,,86,0,0,86
Bristol,,,178,0,0,178
Brookfield,,,70,1,0,71
Brookline,,,34,0,0,34
Brownington,,,24,0,0,24
Brunswick,,,9,0,0,9
Burke,,,43,0,0,43
Burlington,-,"Chittenden 3-1",704,1,0,705
Burlington,-,"Chittenden 3-2",377,1,0,378
Burlington,-,"Chittenden 3-3",515,3,0,518
Burlington,-,"Chittenden 3-4",317,2,0,319
Burlington,-,"Chittenden 3-5","1,040",5,0,"1,045"
Burlington,-,"Chittenden 3-6",124,0,0,124
Cabot,,,66,0,0,66
Calais,,,182,0,0,182
Cambridge,,,94,0,0,94
Canaan,,,40,0,0,40
Castleton,,,60,0,0,60
Cavendish,,,90,0,0,90
Charleston,,,25,0,0,25
Charlotte,,,451,0,0,451
Chelsea,,,71,0,0,71
Chester,,,236,0,0,236
Chittenden,,,39,0,0,39
Clarendon,,,75,0,0,75
Colchester,-,"Chittenden 7-1",220,0,0,220
Colchester,-,"Chittenden 7-2",383,1,0,384
Concord,,,42,0,0,42
Corinth,,,101,0,0,101
Cornwall,,,103,0,0,103
Coventry,,,36,0,0,36
Craftsbury,,,88,0,0,88
Danby,,,113,0,0,113
Danville,,,100,0,0,100
Derby,,,164,0,0,164
Dorset,,,86,0,0,86
Dover,,,29,0,0,29
Dummerston,,,230,1,0,231
Duxbury,,,71,0,0,71
"E. Haven",,,18,0,0,18
"E. Montpelier",,,158,0,0,158
Eden,,,54,0,0,54
Elmore,,,66,1,0,67
Enosburgh,,,89,0,0,89
Essex,-,"Chittenden 6-1",218,0,0,218
Essex,-,"Chittenden 6-2",351,2,0,353
Essex,-,"Chittenden 6-3",96,1,0,97
"Fair Haven",,,44,0,0,44
Fairfax,,,109,0,0,109
Fairfield,,,100,1,0,101
Fairlee,,,60,0,0,60
Fayston,,,54,0,0,54
Ferrisburgh,,,151,0,0,151
Fletcher,,,42,0,0,42
Franklin,,,74,0,0,74
Georgia,,,116,0,0,116
Glover,,,51,0,0,51
Goshen,,,14,0,0,14
Grafton,,,43,0,0,43
Granby,,,3,0,0,3
"Grand Isle",,,119,1,0,120
Granville,,,19,0,0,19
