City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
Greensboro,,,77,0,0,77
Groton,,,38,0,0,38
Guildhall,,,3,0,0,3
Guilford,,,120,0,0,120
Halifax,,,23,1,0,24
Hancock,,,16,0,0,16
Hardwick,,,162,0,0,162
Hartford,-,"Windsor 6-1",92,0,0,92
Hartford,-,"Windsor 6-2",356,1,0,357
Hartland,,,429,0,0,429
Highgate,,,113,0,0,113
Hinesburg,-,"Chittenden 1-1",246,1,0,247
Hinesburg,-,"Chittenden 1-2",8,0,0,8
Holland,,,17,0,0,17
Hubbardton,,,15,0,0,15
Huntington,,,163,0,0,163
"Hyde Park",,,105,0,0,105
Ira,-,"Rutland Rutland 1-1",2,0,0,2
Ira,-,"Rutland Rutland 1-2",22,0,0,22
Irasburg,,,30,0,0,30
"Isle La Motte",,,46,0,0,46
Jamaica,,,50,0,0,50
Jay,,,14,0,0,14
Jericho,,,317,0,0,317
Johnson,,,62,0,0,62
Killington,,,32,0,0,32
Kirby,,,21,0,0,21
Landgrove,,,21,0,0,21
Leicester,,,59,0,0,59
Lemington,,,3,0,0,3
Lincoln,,,126,0,0,126
Londonderry,,,65,0,0,65
Lowell,,,33,0,0,33
Ludlow,,,232,0,0,232
Lunenburg,,,67,0,0,67
Lyndon,,,136,0,0,136
Maidstone,,,8,0,0,8
Manchester,,,133,0,0,133
Marlboro,,,104,0,0,104
Marshfield,,,69,1,0,70
Mendon,,,43,1,0,44
Middlebury,,,416,1,0,417
Middlesex,,,136,0,0,136
"Middletown Springs",,,77,0,0,77
Milton,-,"Chittenden 9",245,1,0,246
Milton,-,"Grand Isle-Chittenden 1-1",37,0,0,37
Monkton,,,69,0,0,69
Montgomery,,,42,0,0,42
Montpelier,,,781,0,0,781
Moretown,,,142,1,0,143
Morgan,,,32,0,0,32
Morristown,,,272,0,0,272
"Mount Holly",,,124,0,0,124
"Mount Tabor",,,16,0,0,16
"New Haven",,,116,2,0,118
Newark,,,19,0,0,19
Newbury,-,"Center Town House",68,0,0,68
Newbury,-,"Town Office",23,2,0,25
Newbury,-,"West River Village",19,0,0,19
Newfane,,,177,0,0,177
"Newport City",,,156,0,0,156
"Newport Town",,,61,0,0,61
"N. Hero",,,39,0,0,39
Northfield,,,261,0,0,261
Norton,,,5,0,0,5
Norwich,,,752,0,0,752
Orange,,,22,0,0,22
Orwell,,,52,0,0,52
Panton,,,39,0,0,39
Pawlet,,,53,0,0,53
Peacham,,,60,0,0,60
Peru,,,35,0,0,35
Pittsfield,,,25,0,0,25
Pittsford,,,86,0,0,86
Plainfield,,,90,0,0,90
Plymouth,,,42,0,0,42
Pomfret,,,94,0,0,94
Poultney,,,94,1,0,95
Pownal,,,123,0,0,123
Proctor,,,50,0,0,50
Putney,,,354,0,0,354
Randolph,,,275,0,0,275
Reading,,,62,0,0,62
Readsboro,,,42,0,0,42
Richford,,,96,1,0,97
Richmond,,,345,0,0,345
Ripton,,,65,0,0,65
Rochester,,,112,0,0,112
Rockingham,,,427,3,0,430
Roxbury,,,40,0,0,40
Royalton,,,129,0,0,129
Rupert,,,44,0,0,44
"Rutland City",-,"Rutland 5-1",181,0,0,181
"Rutland City",-,"Rutland 5-2",144,0,0,144
"Rutland City",-,"Rutland 5-3",86,0,0,86
"Rutland City",-,"Rutland 5-4",161,1,0,162
"Rutland Town",-,"Elem. School",111,1,0,112
"Rutland Town",-,"Town Hall",39,0,0,39
Ryegate,,,42,0,0,42
Salisbury,,,61,0,0,61
Sandgate,,,32,0,0,32
Searsburg,,,4,0,0,4
Shaftsbury,,,242,0,0,242
Sharon,,,122,0,0,122
Sheffield,,,26,0,0,26
Shelburne,-,"Chittenden 5-1",383,1,0,384
Shelburne,-,"Chittenden 5-2",226,0,0,226
Sheldon,,,58,0,0,58
Shoreham,,,56,0,0,56
Shrewsbury,,,65,0,0,65
"S. Burlington",-,"Chittenden 3-10",239,0,0,239
"S. Burlington",-,"Chittenden 3-7",323,4,0,327
"S. Burlington",-,"Chittenden 3-8",354,1,0,355
"S. Burlington",-,"Chittenden 3-9",270,0,0,270
"S. Hero",,,158,0,0,158
Springfield,-,"Windsor 1-1",7,0,0,7
Springfield,-,"Windsor 1-2",537,0,0,537
"St. Albans City",,,359,2,0,361
"St. Albans Town",,,230,0,0,230
"St. George",,,35,0,0,35
"St. Johnsbury",,,195,0,0,195
Stamford,,,29,0,0,29
Stannard,,,24,0,0,24
Starksboro,,,94,0,0,94
Stockbridge,,,41,0,0,41
Stowe,,,183,0,0,183
Strafford,,,192,1,0,193
Stratton,,,9,0,0,9
Sudbury,,,40,0,0,40
Sunderland,,,35,0,0,35
Sutton,,,25,0,0,25
Swanton,,,301,0,0,301
Thetford,,,356,0,0,356
Tinmouth,,,40,0,0,40
Topsham,,,24,0,0,24
Townshend,,,85,0,0,85
Troy,,,49,0,0,49
Tunbridge,,,75,0,0,75
Underhill,,,201,0,0,201
Vergennes,,,130,0,0,130
Vernon,,,76,0,0,76
Vershire,,,53,0,0,53
Victory,,,2,0,0,2
Waitsfield,,,114,0,0,114
Walden,,,57,0,0,57
Wallingford,,,107,0,0,107
Waltham,,,30,0,0,30
Wardsboro,,,39,0,0,39
Warren,,,86,0,0,86
Washington,,,55,0,0,55
Waterbury,,,236,3,0,239
Waterford,,,32,0,0,32
Waterville,,,17,0,0,17
Weathersfield,,,166,0,0,166
Wells,,,35,0,0,35
"W. Fairlee",,,33,1,0,34
"W. Haven",,,8,0,0,8
"W. Rutland",,,49,1,0,50
"W. Windsor",,,109,0,0,109
Westfield,,,23,0,0,23
Westford,,,98,0,0,98
Westminster,-,"Windham 4",18,0,0,18
Westminster,-,"Windham 5",316,0,0,316
Westmore,,,17,0,0,17
Weston,,,64,0,0,64
Weybridge,,,85,0,0,85
Wheelock,,,23,0,0,23
Whiting,,,39,0,0,39
Whitingham,,,42,0,0,42
Williamstown,,,91,0,0,91
Williston,,,539,0,0,539
Wilmington,,,66,0,0,66
Windham,,,30,0,0,30
Windsor,,,264,0,0,264
Winhall,,,37,0,0,37
Winooski,,,311,0,0,311
Wolcott,,,75,0,0,75
Woodbury,,,111,0,0,111
Woodford,,,18,0,0,18
Woodstock,,,379,0,0,379
Worcester,,,127,0,0,127
TOTALS,,,"33,716",60,0,"33,776"
