City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,101,0,0,101
Weathersfield,,,169,1,0,170
TOTALS,,,270,1,0,271
