City/Town,Ward,Pct,"Robert A. Starr",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,10,0,12,22
Brighton,,,71,6,20,97
Brunswick,,,10,2,14,26
Canaan,,,32,4,58,94
Concord,,,36,1,68,105
"E. Haven",,,15,1,30,46
Eden,,,49,1,69,119
Granby,,,3,1,2,6
Guildhall,,,3,0,3,6
Lemington,,,2,1,2,5
Lunenburg,,,53,17,102,172
Maidstone,,,7,1,1,9
Montgomery,,,44,5,55,104
Norton,,,5,1,1,7
Richford,,,98,6,114,218
Victory,,,1,0,1,2
Wolcott,,,68,12,84,164
TOTALS,,,507,59,636,"1,202"
