City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,57,3,0,60
Albany,,,27,1,0,28
Alburgh,,,63,9,0,72
Andover,,,43,0,0,43
Arlington,,,78,1,0,79
Athens,,,12,1,0,13
Bakersfield,,,60,3,0,63
Baltimore,,,15,1,0,16
Barnard,,,79,3,0,82
Barnet,,,85,3,0,88
"Barre City",-,"Washington 3-1",182,7,0,189
"Barre City",-,"Washington 3-2",139,6,0,145
"Barre City",-,"Washington 3-3",30,2,0,32
"Barre Town",,,305,26,0,331
Barton,,,89,12,0,101
Belvidere,,,9,0,0,9
Bennington,-,"Bennington 2-1",217,12,0,229
Bennington,-,"Bennington 2-1 Nb",59,1,0,60
Bennington,-,"Bennington 2-2",237,14,0,251
Bennington,-,"Bennington 5",2,0,0,2
Benson,,,38,0,0,38
Berkshire,,,48,4,0,52
Berlin,,,133,7,0,140
Bethel,,,139,1,0,140
Bloomfield,,,10,0,0,10
Bolton,,,59,4,0,63
Bradford,,,141,7,0,148
Braintree,,,62,2,0,64
Brandon,,,221,2,0,223
Brattleboro,-,"Windham 3-1",251,3,0,254
Brattleboro,-,"Windham 3-2",281,1,0,282
Brattleboro,-,"Windham 3-3",268,1,0,269
Bridgewater,,,66,6,0,72
Bridport,,,74,1,0,75
Brighton,,,87,1,0,88
Bristol,,,190,2,0,192
Brookfield,,,71,0,0,71
Brookline,,,36,1,0,37
Brownington,,,25,1,0,26
Brunswick,,,9,1,0,10
Burke,,,42,0,0,42
Burlington,-,"Chittenden 3-1",730,13,0,743
Burlington,-,"Chittenden 3-2",391,11,0,402
Burlington,-,"Chittenden 3-3",551,12,0,563
Burlington,-,"Chittenden 3-4",342,13,0,355
Burlington,-,"Chittenden 3-5","1,094",10,0,"1,104"
Burlington,-,"Chittenden 3-6",130,0,0,130
Cabot,,,66,2,0,68
Calais,,,185,2,0,187
Cambridge,,,97,6,0,103
Canaan,,,39,2,0,41
Castleton,,,69,0,0,69
Cavendish,,,97,1,0,98
Charleston,,,27,1,0,28
Charlotte,,,478,6,0,484
Chelsea,,,71,3,0,74
Chester,,,254,2,0,256
Chittenden,,,46,0,0,46
Clarendon,,,75,1,0,76
Colchester,-,"Chittenden 7-1",236,5,0,241
Colchester,-,"Chittenden 7-2",399,8,0,407
Concord,,,39,3,0,42
Corinth,,,102,0,0,102
Cornwall,,,109,0,0,109
Coventry,,,34,2,0,36
Craftsbury,,,80,9,0,89
Danby,,,118,4,0,122
Danville,,,97,3,0,100
Derby,,,148,24,0,172
Dorset,,,89,3,0,92
Dover,,,29,0,0,29
Dummerston,,,246,6,0,252
Duxbury,,,70,1,0,71
"E. Haven",,,17,1,0,18
"E. Montpelier",,,159,2,0,161
Eden,,,46,8,0,54
Elmore,,,66,2,0,68
Enosburgh,,,90,2,0,92
Essex,-,"Chittenden 6-1",230,3,0,233
Essex,-,"Chittenden 6-2",352,3,0,355
